epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.193,1.34755,2.7586,0.95915,0.94536,0.42959,0.68896,0.50021,1.21181,2.06731,0.91786,0.00333127,0.00333127,0.0700185
2,1116.11,1.34006,2.43942,0.93931,0.90031,0.50648,0.71004,0.48073,1.25963,2.19425,0.93081,0.00659863,0.00659863,0.0399526
3,2001.73,1.40376,2.56642,0.95597,0.906,0.50366,0.71231,0.49112,1.26809,2.3201,0.93657,0.00979998,0.00979998,0.00982058
4,3221.68,1.41751,2.57025,0.96304,0.90862,0.5092,0.71464,0.4837,1.28822,2.22566,0.94211,0.009703,0.009703,0.009703
5,4265.08,1.39084,2.46899,0.95789,0.92371,0.48571,0.70732,0.49158,1.2561,2.19138,0.93601,0.009604,0.009604,0.009604
6,5670.66,1.37918,2.3936,0.95235,0.92173,0.50631,0.71967,0.49881,1.24688,2.17226,0.93566,0.009505,0.009505,0.009505
7,6248.52,1.35597,2.34426,0.94786,0.94945,0.45382,0.70455,0.50519,1.23691,2.1268,0.92858,0.009406,0.009406,0.009406
8,7229.51,1.35266,2.29837,0.94598,0.9335,0.51673,0.72906,0.50738,1.22691,2.06247,0.92691,0.009307,0.009307,0.009307
9,7813.95,1.34593,2.25656,0.94204,0.92515,0.53474,0.73502,0.51022,1.21737,2.05131,0.92241,0.009208,0.009208,0.009208
10,9870.95,1.31903,2.21087,0.93838,0.92861,0.54458,0.74184,0.51558,1.20646,2.02697,0.92273,0.009109,0.009109,0.009109
11,10612,1.3065,2.16546,0.93581,0.93075,0.52192,0.72955,0.50609,1.22069,2.04113,0.92521,0.00901,0.00901,0.00901
12,11136.4,1.30756,2.16368,0.93521,0.93925,0.53049,0.73823,0.51845,1.1955,1.98183,0.91917,0.008911,0.008911,0.008911
13,12384.8,1.29541,2.12426,0.93052,0.93292,0.55308,0.7474,0.52337,1.18153,1.9672,0.91449,0.008812,0.008812,0.008812
14,13020.9,1.29275,2.12374,0.9281,0.93663,0.55173,0.74851,0.52405,1.18286,1.95011,0.91347,0.008713,0.008713,0.008713
